"Kod";"Nazwa";"Rodzaje towarów";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2009";0,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2010";0,32;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2011";0,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2012";0,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2013";0,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2014";0,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2015";0,39;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2016";0,40;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2017";0,41;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2018";0,42;"zł";"";
0400000;"KUJAWSKO-POMORSKIE";"sól warzona biała workowana - za 1kg";"2019";0,50;"zł";"";
